攻撃の名前,多段ヒットか,攻撃タイプ,威力,攻撃の重さ,アーマー,ノックバックの大きさ,上方向の力,発生フレーム,持続フレーム,半径,長さ,前進速度,前進フレーム,アニメーションの名前,次の攻撃の名前,攻撃の基準位置,キャンセルフレーム,ヒットストップフレーム,ヒットストップの揺れ,ヒットエフェクト,攻撃エフェクト,発生SE,ヒットSE,攻撃ボイス,パラメータ1,パラメータ2,パラメータ3,パラメータ4
MeleeAttack,FALSE,1,100,3,2,100,0,90,10,100,100,0,10,MeleeAttack,None,Owner,100,5,5,WhiteHit,None,Head,Hit1,Attack1,69,68,0,0
MoveAttack,TRUE,5,100,3,2,100,0,90,10,300,0,20,100,MoveAttack,MoveAttack_2,Owner,100,5,5,WhiteHit,Boss3Tackle,Tackle,Hit1,Attack2,79,0,0,0
MoveAttack_2,TRUE,5,100,3,2,100,0,90,10,300,0,20,100,MoveAttack,MoveAttack_3,Owner,100,5,5,WhiteHit,Boss3Tackle,Tackle,Hit1,Attack2,79,0,0,0
MoveAttack_3,TRUE,5,100,3,2,100,0,90,10,300,0,20,100,MoveAttack,MoveAttack_4,Owner,100,5,5,WhiteHit,Boss3Tackle,Tackle,Hit1,Attack2,79,0,0,0
MoveAttack_4,FALSE,5,100,3,2,100,0,90,10,300,0,20,100,MoveAttack,None,Owner,100,5,5,WhiteHit,Boss3Tackle,Tackle,Hit1,Attack2,79,0,0,0
MissileAttack,TRUE,6,100,3,2,100,0,90,200,20,0,0,0,Song,MissileAttack_2,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.6,60
MissileAttack_2,TRUE,6,100,3,2,100,0,95,200,20,0,0,0,Song,MissileAttack_3,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.5,100
MissileAttack_3,TRUE,6,100,3,2,100,0,100,200,20,0,0,0,Song,MissileAttack_4,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.6,60
MissileAttack_4,TRUE,6,100,3,2,100,0,105,200,20,0,0,0,Song,MissileAttack_5,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.6,80
MissileAttack_5,TRUE,6,100,3,2,100,0,110,200,20,0,0,0,Song,MissileAttack_6,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.6,60
MissileAttack_6,TRUE,6,100,3,2,100,0,115,200,20,0,0,0,Song,MissileAttack_7,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.5,100
MissileAttack_7,TRUE,6,100,3,2,100,0,120,200,20,0,0,0,Song,MissileAttack_8,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.5,100
MissileAttack_8,TRUE,6,100,3,2,100,0,125,200,20,0,0,0,Song,MissileAttack_9,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.6,80
MissileAttack_9,FALSE,6,100,3,2,100,0,130,200,20,0,0,0,Song,None,Owner,100,5,5,WhiteHit,Missile,Missile,Hit2,Attack2,5,20,0.6,60
Beam,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_2,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,0,0.5,0
Beam_2,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_3,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,30,0.5,0
Beam_3,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_4,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,60,0.5,0
Beam_4,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_5,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,90,0.5,0
Beam_5,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_6,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,120,0.5,0
Beam_6,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_7,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,150,0.5,0
Beam_7,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_8,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,180,0.5,0
Beam_8,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_9,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,210,0.5,0
Beam_9,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_10,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,240,0.5,0
Beam_10,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_11,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,270,0.5,0
Beam_11,TRUE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,Beam_12,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,300,0.5,0
Beam_12,FALSE,7,200,3,2,120,0,90,200,20,5000,0,250,Song,None,Owner,100,5,5,WhiteHit,Boss3Beam,Laser,Hit3,Attack1,80,330,0.5,0
Bullet,TRUE,2,200,3,2,120,0,50,200,50,45,0,10,Dance1,Bullet_2,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,0
Bullet_2,TRUE,2,200,3,2,120,0,50,200,50,45,0,10,Dance1,Bullet_3,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,90
Bullet_3,TRUE,2,200,3,2,120,0,50,200,50,45,0,10,Dance1,Bullet_4,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,180
Bullet_4,TRUE,2,200,3,2,120,0,50,200,50,45,0,10,Dance1,Bullet_5,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,270
Bullet_5,TRUE,2,200,3,2,120,0,60,200,50,45,0,10,Dance1,Bullet_6,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,20
Bullet_6,TRUE,2,200,3,2,120,0,60,200,50,45,0,10,Dance1,Bullet_7,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,110
