攻撃の名前,多段ヒットか,攻撃タイプ,威力,攻撃の重さ,アーマー,ノックバックの大きさ,上方向の力,発生フレーム,持続フレーム,半径,長さ,前進速度,前進フレーム,アニメーションの名前,次の攻撃の名前,攻撃の基準位置,キャンセルフレーム,ヒットストップフレーム,ヒットストップの揺れ,ヒットエフェクト,攻撃エフェクト,発生SE,ヒットSE,攻撃ボイス,パラメータ1,パラメータ2,パラメータ3,パラメータ4
LeftAttack,FALSE,1,300,3,3,150,0,160,10,480,500,0,50,LeftAttack,None,Center,80,6,20,WhiteHit,fire_boss,Bomb2,Hit2,Attack1,13,26,0,-2
RightAttack,FALSE,1,300,3,3,150,0,160,10,480,500,0,50,RightAttack,None,Center,80,6,20,WhiteHit,fire_boss,Bomb2,Hit2,Attack1,41,54,0,-1
BothAttack,TRUE,2,300,3,3,150,0,180,10,480,500,0,50,BothAttack,BothAttack_2,Center,80,6,20,WhiteHit,fire_boss,Bomb2,Hit2,Attack1,26,0,0,-2
BothAttack_2,FALSE,2,300,3,3,150,0,180,10,480,500,0,50,BothAttack,None,Center,80,6,20,WhiteHit,fire_boss,Bomb2,Hit2,Attack1,54,0,0,-1
Shot,TRUE,2,120,2,1,80,0,120,150,50,0,0,215,Shot,Shot_2,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_2,TRUE,2,120,2,1,80,0,120,150,50,0,0,215,Shot,Shot_3,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_3,TRUE,2,120,2,1,80,0,125,150,50,0,0,215,Shot,Shot_4,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_4,TRUE,2,120,2,1,80,0,125,150,50,0,0,215,Shot,Shot_5,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_5,TRUE,2,120,2,1,80,0,130,150,50,0,0,215,Shot,Shot_6,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_6,TRUE,2,120,2,1,80,0,130,150,50,0,0,215,Shot,Shot_7,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_7,TRUE,2,120,2,1,80,0,135,150,50,0,0,215,Shot,Shot_8,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_8,TRUE,2,120,2,1,80,0,135,150,50,0,0,215,Shot,Shot_9,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_9,TRUE,2,120,2,1,80,0,140,150,50,0,0,215,Shot,Shot_10,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_10,TRUE,2,120,2,1,80,0,140,150,50,0,0,215,Shot,Shot_11,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_11,TRUE,2,120,2,1,80,0,145,150,50,0,0,215,Shot,Shot_12,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_12,TRUE,2,120,2,1,80,0,145,150,50,0,0,215,Shot,Shot_13,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_13,TRUE,2,120,2,1,80,0,150,150,50,0,0,215,Shot,Shot_14,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_14,TRUE,2,120,2,1,80,0,150,150,50,0,0,215,Shot,Shot_15,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
