状態,武器,アニメーション
Idle,None,Idle_N
Idle,LightSword,Idle_S
Idle,BigSword,Idle_SB
Walk,None,Walk_N
Walk,LightSword,Walk_S
Walk,BigSword,Walk_SB
Jog,None,Jog_N
Jog,LightSword,Jog_S
Jog,BigSword,Jog_SB
Run,None,Run
Jump1,None,Jump1
Jump1,LightSword,Jump1
Jump1,BigSword,Jump1
Jump2,None,Jump2
Jump2,LightSword,Jump2
Jump2,BigSword,Jump2
Fall,None,Fall
Fall,LightSword,Fall
Fall,BigSword,Fall
PodFall,None,PodFall
PodFall,LightSword,PodFall
PodFall,BigSword,PodFall
Hit1,None,Hit1
Hit1,LightSword,Hit1
Hit1,BigSword,Hit1
Hit2,None,Hit2
Hit2,LightSword,Hit2
Hit2,BigSword,Hit2
Death,None,Death
Death,LightSword,Death
Death,BigSword,Death
AvoidForward,None,AvoidForward
AvoidBack,None,AvoidBack
JustAvoid,None,JustAvoid
MainAttack1,LightSword,MainAttack1
MainAttack2,LightSword,MainAttack2
MainAttack3,LightSword,MainAttack3
MainAttack4,LightSword,MainAttack4
MainAttack5,LightSword,MainAttack5
MainToSubAttack,Double,MainToSubAttack
MainAttackCharge,LightSword,MainAttackCharge
SubAttack1,BigSword,SubAttack1
SubAttack2,BigSword,SubAttack2
SubAttack3,BigSword,SubAttack3
SubAttackCharge,BigSword,SubAttackCharge
SubAttackAir,BigSword,SubAttackAir
SubAttackAirEnd,BigSword,SubAttackAirEnd
DashAttack,BigSword,DashAttack
JustAttackMain,LightSword,JustAttackMain
JustAttackSub,BigSword,JustAttackSub
PodAttack,None,PodAttack
RisingAttack,LightSword,RisingAttack
SelfDestruction,None,SelfDestruction
Start,None,Start
Start,LightSword,Start
Start,BigSword,Start
TitleIdle,None,Player|TitleIdle
SelectIdle,None,Player|SelectIdle
Start2,None,Player|Start
